pick_date,pick_time,generated_at,score,conclusion,code,name,board,industry,pct,price,volume_ratio,turnover,amount,float_mv,sector_rank,market_score,sector_score,trend_score,quant_score,intraday_score,risk_score,late_return,last5_return,day_range_pos,intraday_range_pos,flags,adaptive_hits
2026-07-03,16:53:30,2026-07-03 16:53:30,90,重点观察,688698,伟创电气,科创板,自动化设备,11.21,61.5,2.07,7.15,915423255.0,13162400601.0,3,20,20,13,11,17,9,0.5230467473030354,0.5723630417007408,0.8194444444444448,0.8194444444444448,涨幅不在双创优先区间,
2026-07-03,16:53:30,2026-07-03 16:53:30,89,重点观察,301005,超捷股份,创业板,汽车零部件,11.73,118.64,1.57,11.48,2475392860.59,21845906904.0,5,20,18,15,10,17,9,0.5679410019496567,-0.21867115222876654,0.8453453453453452,0.8453453453453452,涨幅不在双创优先区间,
2026-07-03,16:53:29,2026-07-03 16:53:29,88,重点观察,300969,恒帅股份,创业板,汽车零部件,10.93,117.0,1.62,8.96,797453508.06,9158209983.0,5,20,18,13,11,17,9,0.7491604236631311,0.0,0.9399477806788513,0.9399477806788513,涨幅不在双创优先区间,
2026-07-03,16:53:31,2026-07-03 16:53:31,88,重点观察,600592,龙溪股份,沪主板,通用设备,10.03,16.12,2.16,5.64,352708385.0,6440803565.0,2,20,20,13,9,17,9,0.0,0.0,1.0,1.0,涨幅不在主板优先区间,
2026-07-03,16:53:31,2026-07-03 16:53:31,88,重点观察,688636,智明达,科创板,军工电子Ⅱ,14.2,40.2,2.94,8.08,541695698.0,6991037441.0,1,20,19,13,10,17,9,0.2743826390620985,0.7014028056112176,0.8666666666666671,0.8666666666666671,涨幅不在双创优先区间,
2026-07-03,16:53:30,2026-07-03 16:53:30,85,重点观察,301368,丰立智能,创业板,通用设备,14.27,50.06,2.73,8.19,472267865.0,6012206000.0,2,20,20,11,9,16,9,0.019980019980025965,0.12000000000000899,0.7421236872812135,0.7421236872812135,涨幅不在双创优先区间,
2026-07-03,16:53:31,2026-07-03 16:53:31,85,重点观察,300607,拓斯达,创业板,自动化设备,13.55,52.96,1.92,26.86,4594583901.94,17873966106.0,3,20,20,13,8,16,8,0.37907505686125553,0.7227082540890217,0.7325746799431007,0.7325746799431007,涨幅不在双创优先区间；换手不适合,
2026-07-03,16:53:37,2026-07-03 16:53:37,85,重点观察,300660,江苏雷利,创业板,电机Ⅱ,14.36,33.29,3.31,7.41,1374143900.51,19339089458.0,6,20,15,13,10,18,9,1.493902439024386,0.4526252263126196,0.9050925925925918,0.9050925925925918,涨幅不在双创优先区间,
2026-07-03,16:53:37,2026-07-03 16:53:37,80,只观察,688387,信科移动-U,科创板,通信设备,10.85,21.15,1.17,5.36,2210914373.0,42654837780.0,8,20,15,15,7,17,6,0.5228136882129197,-0.09447331128957792,0.837121212121212,0.837121212121212,涨幅不在双创优先区间；流通市值不适合,
2026-07-03,16:53:31,2026-07-03 16:53:31,78,只观察,301529,福赛科技,创业板,汽车零部件,10.98,124.3,1.39,10.36,788367554.08,7901337578.0,5,20,18,5,10,17,8,0.37955261245254945,-0.032169856844144196,,0.9352517985611505,涨幅不在双创优先区间；日K获取失败:market data request failed after retries: Remote end closed connection without response,
